time,input,output
0.000000,-1.500000,-0.171653
0.010000,-1.500000,0.157507
0.020000,-1.500000,0.043997
0.030000,-1.500000,-0.239840
0.040000,-1.500000,-0.094453
0.050000,-1.500000,0.256490
0.060000,-1.500000,-0.390333
0.070000,-1.500000,-0.076832
0.080000,-1.500000,0.188420
0.090000,-1.500000,-0.151863
0.100000,-1.500000,-0.125586
0.110000,-1.500000,-0.036989
0.120000,-1.500000,0.209684
0.130000,-1.500000,-0.131593
0.140000,-1.500000,-0.105558
0.150000,-1.500000,-0.109151
0.160000,-1.500000,0.302870
0.170000,-1.500000,0.294072
0.180000,-1.500000,0.100974
0.190000,-1.500000,-0.003132
0.200000,-1.500000,0.045668
0.210000,-1.500000,0.157744
0.220000,-1.500000,-0.233280
0.230000,-1.500000,0.092947
0.240000,-1.500000,-0.299184
0.250000,-1.500000,-0.210025
0.260000,-1.500000,0.025681
0.270000,-1.500000,-0.352489
0.280000,-1.500000,-0.157882
0.290000,-1.500000,-0.281419
0.300000,-1.500000,-0.195292
0.310000,-1.500000,-0.607363
0.320000,-1.500000,-0.455241
0.330000,-1.500000,-0.296342
0.340000,-1.500000,-0.049852
0.350000,-1.500000,-0.235033
0.360000,-1.500000,-0.218477
0.370000,-1.500000,-0.121718
0.380000,-1.500000,-0.381469
0.390000,-1.500000,-0.209678
0.400000,1.500000,-0.394111
0.410000,1.500000,-0.551815
0.420000,1.500000,-0.351832
0.430000,1.500000,-0.210185
0.440000,1.500000,-0.257772
0.450000,1.500000,-0.323086
0.460000,1.500000,0.047626
0.470000,1.500000,-0.274295
0.480000,1.500000,-0.193294
0.490000,1.500000,-0.002153
0.500000,1.500000,-0.568163
0.510000,1.500000,-0.534843
0.520000,1.500000,-0.101470
0.530000,1.500000,-0.509476
0.540000,1.500000,-0.384254
0.550000,1.500000,-0.225072
0.560000,1.500000,-0.258056
0.570000,1.500000,-0.125711
0.580000,1.500000,-0.170546
0.590000,1.500000,-0.241342
0.600000,1.500000,-0.535563
0.610000,1.500000,-0.290229
0.620000,1.500000,-0.368303
0.630000,1.500000,-0.629349
0.640000,1.500000,-0.196779
0.650000,1.500000,-0.294038
0.660000,1.500000,-0.414860
0.670000,1.500000,-0.458867
0.680000,1.500000,-0.611025
0.690000,1.500000,-0.389142
0.700000,1.500000,-0.345347
0.710000,1.500000,-0.549151
0.720000,1.500000,-0.231890
0.730000,1.500000,-0.586653
0.740000,1.500000,-0.745986
0.750000,1.500000,-0.242632
0.760000,1.500000,-0.467150
0.770000,1.500000,-0.419260
0.780000,1.500000,-0.527335
0.790000,1.500000,-0.644039
0.800000,1.500000,-0.186471
0.810000,1.500000,-0.488318
0.820000,1.500000,-0.110868
0.830000,1.500000,-0.239567
0.840000,1.500000,-0.410348
0.850000,1.500000,-0.525286
0.860000,1.500000,-0.462058
0.870000,1.500000,-0.530270
0.880000,1.500000,-0.000513
0.890000,1.500000,-0.296132
0.900000,1.500000,-0.131549
0.910000,1.500000,-0.504744
0.920000,1.500000,-0.266346
0.930000,1.500000,-0.099019
0.940000,1.500000,-0.328186
0.950000,1.500000,-0.101822
0.960000,1.500000,-0.425663
0.970000,1.500000,-0.458770
0.980000,1.500000,-0.171896
0.990000,1.500000,-0.280229
1.000000,1.500000,-0.106847
1.010000,1.500000,-0.508886
1.020000,1.500000,-0.071030
1.030000,1.500000,0.239978
1.040000,1.500000,-0.161657
1.050000,1.500000,-0.138993
1.060000,1.500000,-0.102349
1.070000,1.500000,-0.411211
1.080000,1.500000,-0.035223
1.090000,1.500000,-0.341964
1.100000,1.500000,-0.141006
1.110000,1.500000,0.138137
1.120000,1.500000,-0.159361
1.130000,1.500000,0.051664
1.140000,1.500000,0.148312
1.150000,1.500000,0.048280
1.160000,1.500000,-0.196290
1.170000,1.500000,-0.015583
1.180000,1.500000,0.363545
1.190000,1.500000,-0.249469
1.200000,-1.500000,0.044203
1.210000,-1.500000,0.017208
1.220000,-1.500000,0.139775
1.230000,-1.500000,0.254650
1.240000,-1.500000,0.405856
1.250000,-1.500000,0.123415
1.260000,-1.500000,0.308722
1.270000,-1.500000,0.272927
1.280000,-1.500000,0.282043
1.290000,-1.500000,0.130510
1.300000,-1.500000,0.074120
1.310000,-1.500000,0.069521
1.320000,-1.500000,0.135002
1.330000,-1.500000,0.316133
1.340000,-1.500000,0.395766
1.350000,-1.500000,0.336292
1.360000,-1.500000,0.207568
1.370000,-1.500000,0.588657
1.380000,-1.500000,0.551531
1.390000,-1.500000,0.263203
1.400000,-1.500000,0.196310
1.410000,-1.500000,0.353962
1.420000,-1.500000,0.540155
1.430000,-1.500000,0.398339
1.440000,-1.500000,0.439214
1.450000,-1.500000,0.322722
1.460000,-1.500000,0.432988
1.470000,-1.500000,0.609203
1.480000,-1.500000,0.330796
1.490000,-1.500000,0.394611
1.500000,-1.500000,0.414909
1.510000,-1.500000,0.422029
1.520000,-1.500000,0.155891
1.530000,-1.500000,0.083905
1.540000,-1.500000,0.220554
1.550000,-1.500000,0.409020
1.560000,-1.500000,0.470312
1.570000,-1.500000,0.298692
1.580000,-1.500000,0.599812
1.590000,-1.500000,0.358452
1.600000,-1.500000,0.382941
1.610000,-1.500000,0.347298
1.620000,-1.500000,0.396998
1.630000,-1.500000,0.484641
1.640000,-1.500000,0.475559
